Country,Count
United States of America,1003
United Kingdom,140
Germany,124
France,58
Canada,38
Australia,32
Italy,20
Czech Republic,15
Japan,14
New Zealand,10
Spain,9
Ireland,5
China,5
Hong Kong,4
Mexico,3
Switzerland,3
Tunisia,3
Luxembourg,3
Peru,2
Romania,2
Brazil,2
Russia,2
India,2
Hungary,2
Netherlands,2
Morocco,2
Poland,2
Malta,2
Portugal,1
United Arab Emirates,1
Qatar,1
Slovenia,1
Costa Rica,1
South Africa,1
Belgium,1
Uruguay,1
South Korea,1
Iceland,1
Denmark,1
Paraguay,1
Pakistan,1
Liechtenstein,1
