Year,Fantasy,Animation,Western,Family,Action,Crime,Comedy,Music,Documentary,Mystery,War,History,Adventure,Thriller,Horror,Romance,Science Fiction,Drama
1995,22,6,4,23,75,26,47,5,0,14,7,11,55,52,6,24,33,58
1996,29,9,4,30,91,32,58,6,0,18,8,12,67,72,8,29,42,82
1997,33,11,4,34,115,45,67,6,0,29,8,14,84,103,14,37,54,101
1998,41,16,4,42,132,53,79,7,0,35,11,16,99,118,19,45,64,119
1999,50,21,6,49,149,64,100,8,0,48,13,17,109,134,23,56,76,147
2000,57,27,7,59,170,72,120,10,0,50,17,19,126,151,26,65,88,168
2001,65,33,8,68,200,89,140,12,1,55,21,22,143,177,28,81,97,189
2002,75,38,9,77,229,105,160,13,1,66,26,26,166,208,34,89,107,218
2003,85,41,10,84,259,116,185,14,1,70,29,29,186,234,37,96,119,237
2004,93,47,12,95,286,127,212,16,1,78,33,32,209,254,42,110,130,261
2005,105,52,12,112,312,140,241,18,1,84,36,37,233,274,48,124,141,288
