Title,Revenue,Vote Average
Avatar,2787965087,7.2
Titanic,1845034188,7.5
The Lord of the Rings: The Return of the King,1118888979,8.1
Pirates of the Caribbean: Dead Man's Chest,1065659812,7.0
The Dark Knight,1004558444,8.3
Harry Potter and the Philosopher's Stone,976475550,7.5
Pirates of the Caribbean: At World's End,961000000,6.9
Finding Nemo,940335536,7.6
Harry Potter and the Order of the Phoenix,938212738,7.4
Harry Potter and the Half-Blood Prince,933959197,7.4
The Lord of the Rings: The Two Towers,926287400,8.0
Star Wars: Episode I - The Phantom Menace,924317558,6.4
Jurassic Park,920100000,7.6
Shrek 2,919838758,6.7
Harry Potter and the Goblet of Fire,895921036,7.5
Spider-Man 3,890871626,5.9
Ice Age: Dawn of the Dinosaurs,886686817,6.5
Harry Potter and the Chamber of Secrets,876688482,7.4
The Lord of the Rings: The Fellowship of the Ring,871368364,8.0
Star Wars: Episode III - Revenge of the Sith,850000000,7.1
Transformers: Revenge of the Fallen,836297228,6.0
Spider-Man,821708551,6.8
Independence Day,816969268,6.7
Shrek the Third,798958165,6.0
Harry Potter and the Prisoner of Azkaban,789804554,7.7
The Lion King,788241776,8.0
Indiana Jones and the Kingdom of the Crystal Skull,786636033,5.7
Spider-Man 2,783766341,6.7
2012,769653595,5.6
The Da Vinci Code,767820459,6.5
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",748806957,6.7
The Matrix Reloaded,738599701,6.7
Up,735099082,7.8
The Twilight Saga: New Moon,709827462,5.6
Transformers,709709780,6.6
Forrest Gump,677945399,8.2
The Sixth Sense,672806292,7.7
Ice Age: The Meltdown,660940780,6.5
Pirates of the Caribbean: The Curse of the Black Pearl,655011224,7.5
Star Wars: Episode II - Attack of the Clones,649398328,6.4
Kung Fu Panda,631744560,6.9
The Incredibles,631442092,7.4
Hancock,624029371,6.2
Ratatouille,623722818,7.5
Mamma Mia!,609841637,6.4
Madagascar: Escape 2 Africa,603900354,6.2
Casino Royale,599045960,7.3
War of the Worlds,591739379,6.2
Men in Black,589390539,6.9
Quantum of Solace,586090727,6.1
I Am Legend,585349010,6.9
Iron Man,585174222,7.4
Night at the Museum,574480841,6.4
"Monsters, Inc.",562816256,7.5
Armageddon,553799566,6.5
King Kong,550000000,6.6
Mission: Impossible II,546388105,5.9
The Day After Tomorrow,544272402,6.2
Madagascar,532680671,6.6
The Simpsons Movie,527068851,6.9
Sherlock Holmes,524028679,7.0
WALL·E,521311860,7.8
Terminator 2: Judgment Day,520000000,7.7
Meet the Fockers,516642939,6.1
Troy,497409852,6.9
Toy Story 2,497366869,7.3
Twister,494471524,6.1
Bruce Almighty,484572835,6.4
Shrek,484409218,7.3
Saving Private Ryan,481840909,7.9
Mr. & Mrs. Smith,478207520,6.5
Charlie and the Chocolate Factory,474968763,6.7
Indiana Jones and the Last Crusade,474171806,7.6
The Matrix,463517383,7.9
Cars,461983149,6.6
X-Men: The Last Stand,459359555,6.3
The Hangover,459270619,7.2
Mission: Impossible,457696359,6.7
Gladiator,457640427,7.9
National Treasure: Book of Secrets,457363168,6.1
The Last Samurai,456758981,7.3
Ocean's Eleven,450717150,7.2
Pearl Harbor,449220945,6.6
Tarzan,448000000,7.1
Alvin and the Chipmunks: The Squeakquel,443140005,5.3
The Bourne Ultimatum,442824138,7.3
Men in Black II,441818803,6.1
Terminator 3: Rise of the Machines,435000000,5.9
The Mummy Returns,433013274,6.0
Die Another Day,431971116,5.8
Cast Away,429632142,7.5
The Matrix Revolutions,424988211,6.4
300,422610419,7.0
The Chronicles of Narnia: Prince Caspian,419651413,6.3
The Mummy,415885488,6.6
Sex and the City,415252786,6.0
Night at the Museum: Battle of the Smithsonian,413106170,5.9
Batman,411348924,7.0
Signs,408247917,6.4
X2,407711549,6.8
