Title,Popularity,Vote Average
Avatar,185070892.0,7.2
Titanic,2688907.0,7.5
The Lord of the Rings: The Return of the King,29324358.0,8.1
Pirates of the Caribbean: Dead Man's Chest,29455314.0,7.0
The Dark Knight,123167259.0,8.3
Harry Potter and the Philosopher's Stone,38187238.0,7.5
Pirates of the Caribbean: At World's End,31363664.0,6.9
Finding Nemo,25497794.0,7.6
Harry Potter and the Order of the Phoenix,213643.0,7.4
Harry Potter and the Half-Blood Prince,19083723.0,7.4
The Lord of the Rings: The Two Towers,29423537.0,8.0
Star Wars: Episode I - The Phantom Menace,15649091.0,6.4
Jurassic Park,8863776.0,7.6
Shrek 2,1622986.0,6.7
Harry Potter and the Goblet of Fire,24903058.0,7.5
Spider-Man 3,27614265.0,5.9
Ice Age: Dawn of the Dinosaurs,12980624.0,6.5
Harry Potter and the Chamber of Secrets,29741452.0,7.4
The Lord of the Rings: The Fellowship of the Ring,32070725.0,8.0
Star Wars: Episode III - Revenge of the Sith,13165421.0,7.1
Transformers: Revenge of the Fallen,4351756.0,6.0
Spider-Man,29413341.0,6.8
Independence Day,17634197.0,6.7
Shrek the Third,14072479.0,6.0
Harry Potter and the Prisoner of Azkaban,28460276.0,7.7
The Lion King,21605761.0,8.0
Indiana Jones and the Kingdom of the Crystal Skull,12577266.0,5.7
Spider-Man 2,10834506.0,6.7
2012,16698628.0,5.6
The Da Vinci Code,18566706.0,6.5
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",1813542.0,6.7
The Matrix Reloaded,16229317.0,6.7
Up,19330884.0,7.8
The Twilight Saga: New Moon,30121292.0,5.6
Transformers,5587707.0,6.6
Forrest Gump,48307194.0,8.2
The Sixth Sense,18449169.0,7.7
Ice Age: The Meltdown,16646029.0,6.5
Pirates of the Caribbean: The Curse of the Black Pearl,47326665.0,7.5
Star Wars: Episode II - Attack of the Clones,14072511.0,6.4
Kung Fu Panda,16897541.0,6.9
The Incredibles,22220214.0,7.4
Hancock,11017324.0,6.2
Ratatouille,2050803.0,7.5
Mamma Mia!,10534437.0,6.4
Madagascar: Escape 2 Africa,12668733.0,6.2
Casino Royale,23065078.0,7.3
War of the Worlds,19929377.0,6.2
Men in Black,15781024.0,6.9
Quantum of Solace,1367812.0,6.1
I Am Legend,11379355.0,6.9
Iron Man,22073099.0,7.4
Night at the Museum,16661966.0,6.4
"Monsters, Inc.",26419962.0,7.5
Armageddon,13235112.0,6.5
King Kong,19761164.0,6.6
Mission: Impossible II,1897178.0,5.9
The Day After Tomorrow,15049695.0,6.2
Madagascar,16136217.0,6.6
The Simpsons Movie,14302911.0,6.9
Sherlock Holmes,1568604.0,7.0
WALL·E,16088366.0,7.8
Terminator 2: Judgment Day,22661695.0,7.7
Meet the Fockers,11876386.0,6.1
Troy,15387275.0,6.9
Toy Story 2,17547693.0,7.3
Twister,8739144.0,6.1
Bruce Almighty,15947524.0,6.4
Shrek,17987728.0,7.3
Saving Private Ryan,21758054.0,7.9
Mr. & Mrs. Smith,15724373.0,6.5
Charlie and the Chocolate Factory,22038405.0,6.7
Indiana Jones and the Last Crusade,14788987.0,7.6
The Matrix,33366332.0,7.9
Cars,18907948.0,6.6
X-Men: The Last Stand,867943.0,6.3
The Hangover,23947351.0,7.2
Mission: Impossible,15793477.0,6.7
Gladiator,23186667.0,7.9
National Treasure: Book of Secrets,12854373.0,6.1
The Last Samurai,19582325.0,7.3
Ocean's Eleven,12114932.0,7.2
Pearl Harbor,11419388.0,6.6
Tarzan,12453452.0,7.1
Alvin and the Chipmunks: The Squeakquel,9909961.0,5.3
The Bourne Ultimatum,18173269.0,7.3
Men in Black II,16775716.0,6.1
Terminator 3: Rise of the Machines,20818907.0,5.9
The Mummy Returns,16945657.0,6.0
Die Another Day,12996474.0,5.8
Cast Away,21296343.0,7.5
The Matrix Revolutions,15368205.0,6.4
300,18108408.0,7.0
The Chronicles of Narnia: Prince Caspian,12490891.0,6.3
The Mummy,23984065.0,6.6
Sex and the City,9170332.0,6.0
Night at the Museum: Battle of the Smithsonian,15417181.0,5.9
Batman,1910673.0,7.0
Signs,11211568.0,6.4
X2,913096.0,6.8
