Title,Order,Year,Genre,Vote Average,Revenue
Terminator 2: Judgment Day,Best,1991,Action,7.7,520000000
JFK,Best,1991,Drama,7.5,205405498
Back to the Future Part III,Best,1990,Adventure,7.1,244527583
Total Recall,Best,1990,Action,7.1,261317921
The Godfather: Part III,Best,1990,Crime,7.1,136766062
Cape Fear,Best,1991,Crime,7.0,182300000
What About Bob?,Best,1991,Comedy,6.7,63710000
Hook,Best,1991,Adventure,6.7,300854823
The Doors,Best,1991,Drama,6.7,34416893
Robin Hood: Prince of Thieves,Best,1991,Adventure,6.6,390493908
Die Hard 2,Best,1990,Action,6.6,240031094
The Rescuers Down Under,Best,1990,Adventure,6.6,47431461
For the Boys,Best,1991,Music,6.5,23202444
Backdraft,Best,1991,Action,6.4,152368585
The Rocketeer,Best,1991,Action,6.3,62000000
Gremlins 2: The New Batch,Best,1990,Comedy,6.3,41482207
Oscar,Best,1991,Action,6.2,23562716
The Adventures of Ford Fairlane,Best,1990,Action,6.2,20423389
Predator 2,Best,1990,Science Fiction,6.0,57120318
The Bonfire of the Vanities,Worst,1990,Comedy,5.3,15691192
Rocky V,Worst,1990,Drama,5.3,119946358
Havana,Worst,1990,Drama,5.5,9243140
RoboCop 2,Worst,1990,Action,5.6,45681173
Another 48 Hrs.,Worst,1990,Thriller,5.8,153518974
Dick Tracy,Worst,1990,Adventure,5.9,103738726
Days of Thunder,Worst,1990,Adventure,5.9,157920733
